# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	9489
#@/user_id	aef07baf-fc31-4dbf-911c-c1bc15ed306d
a 	阿	c=3 d=5.54929e-06 t=9489
bu gou 	不夠	c=2 d=0.000833397 t=9489
bu guan 	不管	c=3 d=0.00960837 t=9489
bu guo 	不過	c=9 d=0.941765 t=9489
bu han 	不含	c=2 d=7.72328e-11 t=9489
bu hao 	不好	c=1 d=0.283654 t=9489
bu hao yi si 	不好意思	c=1 d=1.10935e-15 t=9489
bu hui 	不會	c=6 d=0.913931 t=9489
bu ji de 	不記得	c=1 d=1.64273e-16 t=9489
bu jiang 	不講	c=1 d=0.360595 t=9489
bu jin 	不僅	c=2 d=6.26197e-09 t=9489
bu jin jin shi 	不僅僅是	c=1 d=0.00474815 t=9489
bu ke 	不可	c=0 d=1.67045e-08 t=9489
bu ke jiao 	不可教	c=1 d=1.67883e-07 t=9489
bu ke yi 	不可以	c=2 d=3.70404e-15 t=9489
bu ken 	不肯	c=1 d=0.00923273 t=9489
bu kun 	不困	c=1 d=0.0259911 t=9489
bu li yu 	不利於	c=1 d=4.32152e-13 t=9489
bu ming 	不明	c=0 d=5.30567e-16 t=9489
bu ming xian 	不明顯	c=1 d=5.33227e-15 t=9489
bu nan 	不難	c=2 d=1.37585e-09 t=9489
bu neng 	不能	c=9 d=1.87423 t=9489
bu niao 	不鳥	c=1 d=6.98389e-13 t=9489
bu pa 	不怕	c=3 d=0.0930145 t=9489
bu qi 	不起	c=0 d=3.68381e-18 t=9489
bu qing chu 	不清楚	c=2 d=0.392586 t=9489
bu rang 	不讓	c=1 d=0.0739031 t=9489
bu ru 	不如	c=2 d=6.2064e-13 t=9489
bu shi 	不是	c=15 d=0.935409 t=9489
bu shuo 	不說	c=1 d=0.574072 t=9489
bu ti 	不提	c=1 d=8.50378e-06 t=9489
bu ting 	不停	c=4 d=0.0200388 t=9489
bu tong 	不同	c=4 d=0.00331267 t=9489
bu tuo 	不拖	c=1 d=8.26088e-18 t=9489
bu xia 	不下	c=0 d=2.16831e-18 t=9489
bu xiang 	不像	c=1 d=7.83771e-17 t=9489
bu xie 	不寫	c=1 d=2.24906e-06 t=9489
bu xing 	不行	c=3 d=0.416862 t=9489
bu yao 	不要	c=4 d=4.36281e-07 t=9489
bu yi 	不易	c=1 d=1.59695e-07 t=9489
bu yi yang 	不一樣	c=1 d=4.30143e-17 t=9489
bu yong 	不用	c=7 d=0.88692 t=9489
bu yuan 	不遠	c=1 d=5.80632e-17 t=9489
bu zai yi 	不在意	c=1 d=0.0284388 t=9489
bu zeng 	補增	c=4 d=0.00287061 t=9489
bu zhi 	不值	c=0 d=5.83443e-16 t=9489
bu zhi 	佈置	c=1 d=3.15379e-13 t=9489
bu zhi dao 	不知道	c=8 d=0.579842 t=9489
bu zhi yu 	不至於	c=1 d=1.84614e-07 t=9489
bu zhou 	步驟	c=1 d=0.0270518 t=9489
bu zhu 	不住	c=1 d=2.60806e-13 t=9489
bu zhuan 	不轉	c=0 d=0.010383 t=9489
bu zhuan fa 	不轉發	c=1 d=0.10435 t=9489
ca 	嚓	c=3 d=1.8097 t=9489
cai 	才	c=4 d=0.00990889 t=9489
cai 	菜	c=7 d=0.0596065 t=9489
cai 	蔡	c=1 d=2.19465e-12 t=9489
cai dan 	彩蛋	c=3 d=0.0599436 t=9489
cai dui 	纔對	c=1 d=9.78667e-12 t=9489
cai liao 	材料	c=1 d=1.68317e-08 t=9489
cai mei juan 	蔡美娟	c=1 d=4.83568e-12 t=9489
cai neng 	才能	c=4 d=1.27616e-06 t=9489
cai shi 	纔是	c=1 d=0.560874 t=9489
can 	慘	c=2 d=7.12978e-13 t=9489
can jia 	參加	c=7 d=7.49275e-10 t=9489
can kao 	參考	c=14 d=0.137726 t=9489
can ting 	餐廳	c=1 d=1.17735e-09 t=9489
can zhao 	參照	c=1 d=0.423162 t=9489
cang ku 	倉庫	c=2 d=0.000361684 t=9489
cao mu 	草木	c=0 d=1.45573e-07 t=9489
cao mu shen 	草木深	c=1 d=1.46303e-06 t=9489
cao shuai 	曹帥	c=1 d=0.740818 t=9489
ce 	測	c=1 d=1.69599e-09 t=9489
ce ben shu 	測本書	c=1 d=4.16423e-18 t=9489
ce bian 	側邊	c=1 d=1.35801e-12 t=9489
ce dai 	測帶	c=1 d=1.68753e-09 t=9489
ce hua 	策劃	c=1 d=2.78227e-09 t=9489
ce lan 	側欄	c=1 d=3.82295e-12 t=9489
ce lan 	測欄	c=1 d=3.78491e-12 t=9489
ce li 	測力	c=1 d=4.39968e-18 t=9489
ce lve 	策略	c=2 d=0.0086807 t=9489
ce ping 	測評	c=2 d=7.1143e-17 t=9489
ce shi 	測試	c=18 d=0.954374 t=9489
ce shi ka 	測試卡	c=1 d=7.01532e-07 t=9489
ce shi ti 	測試題	c=1 d=4.50645e-06 t=9489
ce shi yi xia 	測試一下	c=3 d=0.903701 t=9489
ce zhong yu 	側重於	c=1 d=2.76745e-05 t=9489
ceng ji 	層級	c=1 d=0.00548905 t=9489
ceng mian 	層面	c=1 d=0.00115345 t=9489
cha bu duo 	差不多	c=2 d=0.00245625 t=9489
cha dian 	差點	c=2 d=2.49468e-11 t=9489
cha jian 	插件	c=6 d=0.00511796 t=9489
cha ju 	差距	c=1 d=5.3683e-06 t=9489
cha kan 	查看	c=3 d=0.000392401 t=9489
cha ru 	插入	c=1 d=9.21517e-10 t=9489
cha yue 	查閱	c=2 d=0.0447887 t=9489
cha zhao 	查找	c=1 d=7.07354e-16 t=9489
chan luan chang 	產卵場	c=1 d=9.9295e-06 t=9489
chan pin 	產品	c=1 d=5.99557e-12 t=9489
chan sheng 	產生	c=3 d=0.951239 t=9489
chan shu 	闡述	c=1 d=5.05653e-08 t=9489
chan si 	禪寺	c=0 d=2.62613e-07 t=9489
chang 	唱	c=1 d=0.535261 t=9489
chang 	長	c=2 d=5.21441e-09 t=9489
chang chun 	長春	c=2 d=2.37776e-06 t=9489
chang pao 	長跑	c=1 d=5.43721e-09 t=9489
chang pian 	長篇	c=1 d=1.99128e-15 t=9489
chang shi 	嘗試	c=4 d=0.777125 t=9489
chang yong 	常用	c=3 d=0.020124 t=9489
chao 	抄	c=1 d=0.000754089 t=9489
chao guo 	超過	c=0 d=3.16196e-15 t=9489
chao yue 	超越	c=2 d=1.16981e-06 t=9489
che 	車	c=1 d=0.506617 t=9489
che shang 	扯上	c=1 d=8.55077e-12 t=9489
chen 	晨	c=1 d=2.99224e-12 t=9489
chen 	陳	c=0 d=0.00788664 t=9489
chen jin 	沉浸	c=1 d=5.84953e-16 t=9489
chen jin hui 	陳錦輝	c=2 d=0.028297 t=9489
chen qie 	臣妾	c=1 d=0.755784 t=9489
chen si cheng 	陳思誠	c=1 d=1.6544e-11 t=9489
chen su feng 	陳素封	c=2 d=0.0792617 t=9489
cheng 	城	c=4 d=1.017e-05 t=9489
cheng 	成	c=9 d=0.585669 t=9489
cheng ben 	成本	c=1 d=0.522046 t=9489
cheng du 	程度	c=1 d=3.52782e-08 t=9489
cheng dui 	成對	c=1 d=1 t=9489
cheng gong 	成功	c=7 d=0.0125254 t=9489
cheng hui 	承惠	c=1 d=3.84276e-14 t=9489
cheng sheng 	乘勝	c=1 d=0.946485 t=9489
cheng wei 	成爲	c=5 d=6.07922e-08 t=9489
cheng xian 	呈現	c=2 d=9.19244e-11 t=9489
cheng yuan 	成員	c=1 d=2.36517e-10 t=9489
cheng zuo 	乘坐	c=3 d=0.119433 t=9489
chi 	吃	c=6 d=0.472367 t=9489
chi chi 	遲遲	c=1 d=0.00918669 t=9489
chi fan 	吃飯	c=2 d=0.055299 t=9489
chi le 	吃了	c=1 d=0.71177 t=9489
chi wan 	吃完	c=1 d=0.677057 t=9489
chi wan fan 	吃完飯	c=1 d=3.6365e-12 t=9489
chong 	重	c=2 d=0.000573879 t=9489
chong chu jiang hu 	重出江湖	c=1 d=0.00244185 t=9489
chong fu 	重複	c=2 d=0.0132336 t=9489
chong man 	充滿	c=1 d=1.34775e-11 t=9489
chong xin 	重新	c=2 d=1.57698e-06 t=9489
chong zu 	充足	c=1 d=0.000177774 t=9489
chou ban 	籌辦	c=1 d=1.69541e-05 t=9489
chou bei 	籌備	c=1 d=3.42589e-16 t=9489
chou ti 	抽題	c=1 d=0.00144449 t=9489
chu 	出	c=11 d=0.136997 t=9489
chu 	初	c=3 d=2.82496e-10 t=9489
chu ban 	出版	c=3 d=1.13666e-07 t=9489
chu chang 	出場	c=1 d=0.000742862 t=9489
chu chu jiang hu 	初出江湖	c=1 d=1.16603e-13 t=9489
chu fa 	觸發	c=2 d=0.0182612 t=9489
chu lai 	出來	c=5 d=2.88226e-07 t=9489
chu le 	除了	c=3 d=4.37799e-07 t=9489
chu li 	處理	c=1 d=4.17288e-13 t=9489
chu men 	出門	c=1 d=9.61117e-05 t=9489
chu mian 	出面	c=1 d=0.293758 t=9489
chu ming 	出名	c=1 d=1.3147e-13 t=9489
chu nv 	處女	c=1 d=9.21831e-14 t=9489
chu xian 	出現	c=1 d=0.0116203 t=9489
chu xing 	出行	c=1 d=0.519442 t=9489
chu zhong 	初中	c=1 d=2.65893e-05 t=9489
chuan bo 	傳播	c=2 d=0.00123422 t=9489
chuan piao 	船票	c=1 d=6.67204e-05 t=9489
chuan shou 	傳授	c=1 d=2.31314e-13 t=9489
chuan shu 	傳輸	c=3 d=4.54349e-16 t=9489
chuan tong 	傳統	c=7 d=0.000625737 t=9489
chuang guan 	闖關	c=1 d=0.000117341 t=9489
chuang guan qian 	闖關前	c=1 d=0.000148489 t=9489
chuang lian 	窗簾	c=1 d=0.105928 t=9489
chuang shang 	牀上	c=1 d=0.00211225 t=9489
chuang yi 	創意	c=1 d=5.53179e-06 t=9489
chuang zuo 	創作	c=4 d=0.000515131 t=9489
chui lian 	錘鍊	c=4 d=6.14997e-05 t=9489
chui xian 	垂涎	c=1 d=0.373439 t=9489
chun 	純	c=2 d=0.0108964 t=9489
chun yin 	純銀	c=1 d=0.00740944 t=9489
chuo si 	戳四	c=1 d=6.14944e-16 t=9489
ci 	此	c=10 d=0.477961 t=9489
ci hou 	此後	c=2 d=0.971321 t=9489
ci qian 	此前	c=1 d=0.209088 t=9489
ci shu 	次數	c=1 d=2.4617e-10 t=9489
ci shu 	此書	c=3 d=3.84902e-07 t=9489
ci wai 	此外	c=2 d=0.0500401 t=9489
ci xing 	詞性	c=2 d=0.0320526 t=9489
cong 	從	c=8 d=0.140858 t=9489
cong bu 	從不	c=1 d=9.52039e-11 t=9489
cong er 	從而	c=1 d=1.59034e-17 t=9489
cong wei 	從未	c=1 d=0.156453 t=9489
cong wen 	從文	c=1 d=1.94178e-13 t=9489
cong xiao 	從小	c=2 d=0.00111738 t=9489
cong ye 	聰爺	c=1 d=1.32746e-09 t=9489
cou 	湊	c=1 d=0.000829241 t=9489
cu bao 	粗暴	c=1 d=1.8102e-11 t=9489
cu cheng 	促成	c=1 d=0.882497 t=9489
cun dang 	存檔	c=1 d=2.18296e-08 t=9489
cun xia 	存下	c=1 d=0.00951391 t=9489
cun yi 	存疑	c=1 d=3.01451e-11 t=9489
cuo 	錯	c=0 d=9.45167e-15 t=9489
da 	大	c=3 d=0.404542 t=9489
da 	打	c=1 d=0.0380983 t=9489
da 	達	c=0 d=9.17545e-19 t=9489
da an 	答案	c=1 d=7.05168e-09 t=9489
da bu fen 	大部分	c=5 d=6.13731e-07 t=9489
da bu kai 	打不開	c=1 d=4.81074e-10 t=9489
da cheng 	搭乘	c=1 d=0.138761 t=9489
da da 	大大	c=1 d=0.514274 t=9489
da dan 	大膽	c=1 d=0.559898 t=9489
da duo shu 	大多數	c=3 d=7.91364e-15 t=9489
da er wen 	達爾文	c=2 d=8.82948e-07 t=9489
da gai 	大概	c=1 d=2.51793e-11 t=9489
da gang 	大綱	c=7 d=0.232097 t=9489
da guai 	打怪	c=1 d=8.87675e-11 t=9489
da jia 	大家	c=22 d=0.811845 t=9489
da jie 	大街	c=1 d=1.07638e-13 t=9489
da jin 	大金	c=0 d=1.3845e-05 t=9489
da jin kuang 	大金礦	c=1 d=0.000139144 t=9489
da kai 	打開	c=5 d=0.085435 t=9489
da liang 	大量	c=4 d=1.4248e-07 t=9489
da men 	大門	c=1 d=1.66325e-15 t=9489
da nao 	大腦	c=3 d=1.05095e-05 t=9489
da nao zhong 	大腦中	c=1 d=9.73289e-06 t=9489
da shi 	大師	c=8 d=0.0383884 t=9489
da shi men 	大師們	c=1 d=7.23019e-09 t=9489
da tong 	打通	c=1 d=1.71362e-13 t=9489
da xiong 	大熊	c=2 d=4.12337e-12 t=9489
da yi 	大意	c=1 d=8.40458e-15 t=9489
da yi 	打一	c=0 d=0.0136695 t=9489
da yi 	答疑	c=1 d=7.41197e-07 t=9489
da yi jia 	打一架	c=1 d=0.137381 t=9489
da yin ji 	打印機	c=1 d=4.31183e-16 t=9489
da ying 	答應	c=1 d=2.11405e-13 t=9489
da yue 	大悅	c=0 d=5.80632e-18 t=9489
da yue cheng 	大悅城	c=1 d=5.83542e-17 t=9489
da zao 	打造	c=1 d=4.90625e-06 t=9489
da zhao 	大招	c=0 d=1.02142e-15 t=9489
da zhou 	大洲	c=0 d=3.2398e-07 t=9489
da zuo 	大作	c=0 d=4.90625e-07 t=9489
da zuo jia 	大作家	c=1 d=5.31488e-06 t=9489
da zuo ye 	大作業	c=2 d=1.00887e-05 t=9489
da zuo ye 	打作業	c=1 d=0.382893 t=9489
dai 	呆	c=3 d=5.08569e-09 t=9489
dai 	帶	c=5 d=0.438235 t=9489
dai 	待	c=1 d=3.16583e-13 t=9489
dai 	戴	c=1 d=3.26613e-13 t=9489
dai 	歹	c=1 d=1.82839e-11 t=9489
dai biao 	代表	c=2 d=1.74309e-06 t=9489
dai ding 	待定	c=1 d=2.79812e-17 t=9489
dai guan wang 	待觀望	c=1 d=3.12996e-12 t=9489
dai ma 	代碼	c=2 d=4.38886e-09 t=9489
dai ta 	帶他	c=1 d=2.15156e-14 t=9489
dan 	但	c=3 d=0.00102316 t=9489
dan ni 	丹尼	c=0 d=2.12356e-08 t=9489
dan ni te 	丹尼特	c=2 d=0.000439659 t=9489
dan ren 	擔任	c=1 d=1.98614e-14 t=9489
dan sheng 	誕生	c=1 d=7.3041e-11 t=9489
dan wei 	單位	c=2 d=1.84731e-05 t=9489
dan xin 	擔心	c=3 d=0.096825 t=9489
dan yao 	彈藥	c=0 d=0.000975476 t=9489
dan yao tong 	彈藥筒	c=1 d=0.00980366 t=9489
dang 	擋	c=1 d=0.327915 t=9489
dang 	當	c=2 d=0.481909 t=9489
dang chu 	當初	c=1 d=0.677057 t=9489
dang dai 	當代	c=2 d=0.000381625 t=9489
dang di 	當地	c=1 d=1.30162e-13 t=9489
dang ni 	當你	c=3 d=0.287498 t=9489
dang qing 	盪清	c=1 d=1.95152e-13 t=9489
dang ran 	當然	c=1 d=2.22706e-08 t=9489
dang shi 	當時	c=2 d=4.19286e-11 t=9489
dang zhong 	當中	c=1 d=3.44306e-16 t=9489
dang zuo 	當作	c=1 d=2.14564e-11 t=9489
dao 	到	c=12 d=0.235829 t=9489
dao 	道	c=2 d=0.00763509 t=9489
dao chang 	道場	c=2 d=2.62762e-06 t=9489
dao shi 	到時	c=3 d=2.02275e-14 t=9489
dao xiang 	導向	c=1 d=0.00382958 t=9489
de 	得	c=10 d=0.00240559 t=9489
de 	的	c=546 d=11.5341 t=9489
de chu 	得出	c=2 d=3.50611e-08 t=9489
de dao 	得到	c=1 d=3.03694e-10 t=9489
de fen 	得分	c=1 d=2.90331e-10 t=9489
de kong 	得空	c=1 d=4.94782e-17 t=9489
de xin ying shou 	得心應手	c=1 d=0.000113922 t=9489
den 	㩐	c=0 d=0.0980199 t=9489
den ling an 	㩐另案	c=1 d=0.985112 t=9489
deng 	等	c=11 d=1.33034 t=9489
deng 	鄧	c=0 d=0.0010358 t=9489
deng an qing 	鄧安慶	c=2 d=0.082488 t=9489
deng dao 	等到	c=0 d=5.92059e-12 t=9489
deng dao ni 	等到你	c=1 d=5.95027e-11 t=9489
deng deng 	等等	c=1 d=0.0100017 t=9489
deng hou 	等候	c=1 d=6.81146e-13 t=9489
deng ji 	等級	c=1 d=9.88671e-14 t=9489
deng lu 	登錄	c=1 d=0.0893673 t=9489
deng shen 	等身	c=1 d=7.85265e-10 t=9489
deng wo 	等我	c=1 d=0.00249118 t=9489
deng zhe 	等着	c=1 d=2.4566e-15 t=9489
deng zi 	凳子	c=1 d=0.000731802 t=9489
di 	地	c=13 d=0.0493837 t=9489
di 	第	c=2 d=0.311923 t=9489
di ba 	第八	c=0 d=3.2398e-07 t=9489
di ba da zhou 	第八大洲	c=1 d=3.25604e-06 t=9489
di da 	滴答	c=1 d=0.0104621 t=9489
di er 	第二	c=4 d=0.000471747 t=9489
di er ci 	第二次	c=1 d=0.00831246 t=9489
di er jie 	第二節	c=3 d=0.302704 t=9489
di er zhong 	第二種	c=2 d=0.000377331 t=9489
di fang 	地方	c=1 d=1.27628e-17 t=9489
di qu 	地區	c=1 d=3.00621e-08 t=9489
di que 	的確	c=2 d=0.00123708 t=9489
di san jie 	第三節	c=1 d=0.00031751 t=9489
di se 	底色	c=1 d=7.99196e-11 t=9489
di shi si 	第十四	c=1 d=0.00759701 t=9489
di tie 	地鐵	c=1 d=5.66296e-17 t=9489
di xiao 	低效	c=1 d=0.000668817 t=9489
di yi 	第一	c=6 d=0.301194 t=9489
di yi bu 	第一步	c=1 d=0.0349094 t=9489
di yi ci 	第一次	c=2 d=0.0167116 t=9489
di yi ge 	第一個	c=1 d=8.90125e-14 t=9489
di yi jie 	第一節	c=6 d=1.93215e-07 t=9489
di yi tiao 	第一條	c=2 d=3.0448e-11 t=9489
di yi zhong 	第一種	c=1 d=0.000335463 t=9489
di yu 	地獄	c=2 d=3.69421e-13 t=9489
